패턴	글자수	단어수	예시단어(최대5개)
ㅇㅇ	2	303	있어,없어,알아,일이,있을
ㅈㅇ	2	216	좋아,좋은,전에,집에,작은
ㄱㅇ	2	210	거야,같이,같은,같아,것을
ㅅㅇ	2	209	싶어,싫어,싶은,손을,살아
ㅂㅇ	2	206	봐요,부인,밖에,봤어,보여
ㅇㄱ	2	202	여기,이건,이게,이거,알고
ㅇㅇㅇ	3	173	있어요,없어요,알았어,알아요,않아요
ㅈㅇㅇ	3	159	좋아요,죽었어,좋았어,중이야,짓이야
ㅁㅇ	2	157	많이,말을,뭐야,만약,많은
ㅇㄱㅇ	3	155	여기에,알겠어,얼굴을,여기요,얼굴이
ㅇㅈ	2	153	이제,아주,아직,있지,이젠
ㅇㅅㅇ	3	149	아세요,오세요,인생을,어서요,약속을
ㅈㄱ	2	139	지금,제가,저기,자기,조금
ㅇㅈㅇ	3	139	있잖아,없잖아,알잖아,움직여,아직은
ㄷㅇ	2	136	돼요,동안,됐어,들어,다음
ㄴㅇ	2	135	내일,나와,나의,놈이,너의
ㄱㅇㅇ	3	132	거예요,같아요,거에요,기억이,갔어요
ㄱㅈ	2	122	거지,거죠,가자,가장,가지
ㄱㅈㅇ	3	122	가져와,가족을,거잖아,가족이,결정을
ㄱㄱ	2	121	그게,그건,그걸,그가,그거
ㅇㄷ	2	121	어디,안돼,있다,없다,일단
ㅇㄹ	2	121	우리,우린,이런,이리,우릴
ㅈㄱㅇ	3	119	지금은,저기요,좋겠어,자기야,즐거운
ㅇㅅ	2	118	어서,이상,와서,있소,의사
ㅅㅇㅇ	3	116	싶어요,싫어요,사이에,싶었어,살아요
ㅇㄹㅇ	3	110	우리의,이름이,이름은,이름을,이리와
ㄱㄱㅇ	3	109	건가요,그것은,거기에,그것을,그거야
ㅁㅇㅇ	3	109	말이야,맞아요,말아요,마음에,무엇을
ㅅㄱ	2	104	수가,시간,생각,신경,살고
ㅂㅇㅇ	3	104	봤어요,병원에,보여요,부인이,받았어
ㅈㅈ	2	97	젠장,조지,직접,좋지,점점
ㅅㄱㅇ	3	97	시간이,시간을,생각을,생각이,생각엔
ㄱㄹ	2	95	그래,그럼,그런,그럴,그를
ㅅㅈ	2	95	싶지,심장,수정,사진,시작
ㅈㅅㅇ	3	95	주세요,자신을,자신의,진실을,자신이
ㅇㄴ	2	92	있는,아니,아냐,오늘,안녕
ㅅㅅㅇ	3	91	세상에,수술을,수술에,수술이,사실은
ㄷㄱ	2	90	되고,듣고,두고,들고,되게
ㅅㅈㅇ	3	90	심장을,심장이,사진을,심지어,사적인
ㅎㅇ	2	89	해요,했어,해야,후에,힘을
ㅂㄱ	2	87	보고,방금,받고,보게,보기
ㅇㄷㅇ	3	87	안돼요,얘들아,어딨어,애들이,어디에
ㄱㅅ	2	86	계속,가서,검사,관심,걸세
ㅈㅅ	2	84	잠시,정신,자식,즉시,점심
ㅈㄹ	2	83	저를,저런,저리,저랑,죄를
ㄱㄷ	2	82	근데,것도,거다,건데,간다
ㄱㄹㅇ	3	82	그래요,그레이,그럼요,그랬어,그래야
ㅂㄹ	2	81	바로,별로,보러,봐라,불러
ㅇㅎ	2	80	위해,위한,이해,원해,영화
ㄴㅇㅇ	3	80	늦었어,남았어,나와요,내일은,나왔어
ㅈㅈㅇ	3	79	전쟁을,전쟁이,전쟁은,조직을,주제에
ㄷㅇㅇ	3	78	됐어요,도움이,다음에,들었어,들어와
ㅅㅅ	2	77	수술,사실,세상,섹스,선생
ㅈㄷ	2	77	절대,저도,정도,좋다,지도
