theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d180_reach_d5,d180_reach_d10,d180_reach_d15,d180_reach_d20,d180_has_B,d180_has_A,d180_has_S,d180_p50,d180_p90,d180_p99,d180_p99_p50,d180_mean_bonus,d180_p99_bonus,d180_sink,d180_inflow,d180_refund,d180_sink_ratio,d180_drop7,d180_spare_total,balance_loss,balance_score,obj_growth,obj_rarity,obj_economy,obj_fun
10000153,1080.8469,0.9466886,799.6752,1.4696187,1.0947856,156.59102,0.026082655,0.012788521,0.0023653037,7.434854e-05,1.4324841,0.90201265,1.0924474,0.11602329,0.22938155,0.64735174,0.61899745,0.50156856,0.043074325,0.0,0.0,0.48515928,0.03161197,0.0,10487.108,34137.965,97469.39,9.29421,0.0450576,0.24368313,249474110.0,291880740.0,23781.25,0.85464287,0.28535232,2624.0625,0.30241555,0.7678041,-0.11849423,-0.0,-0.004642844,-0.03535232
10000060,1029.1001,0.8387189,789.61334,1.400656,0.8512428,151.62062,0.03468801,0.012954393,0.0013159339,0.00020864146,0.8194603,0.8746524,0.76314294,0.09420038,0.21988858,0.430686,0.8785171,0.5030164,0.0378861,0.0,0.0,0.3771718,0.050072394,0.0,9446.971,27902.945,77042.67,8.155278,0.040415697,0.23882656,203035400.0,238010080.0,10562.5,0.8530159,0.3011583,2570.875,0.31584138,0.75997,-0.12513031,-0.0,-0.0030158758,-0.05115831
10000010,1134.4563,0.8836144,692.6612,1.5315638,1.1039114,154.15279,0.044191025,0.008752172,0.0011462313,0.00068309513,1.1789281,0.8720026,1.0825222,0.098927684,0.2649383,0.6101763,0.5664823,0.49794883,0.03535232,0.0,0.0,0.378861,0.14273648,0.00012065637,9316.246,31021.363,107653.44,11.555452,0.045987286,0.32851878,243341180.0,286517250.0,4437.5,0.84929407,0.33590734,2682.1875,0.31678048,0.759428,-0.12669885,-0.0,-0.0007059574,-0.08590734
10000141,917.4331,1.1548121,789.45,1.4871688,0.788903,157.55112,0.019411106,0.009016791,0.00089182984,0.00030394897,1.219906,0.8097661,1.0271902,0.11352165,0.40685558,0.4616164,0.55849296,0.5019305,0.032577224,0.0,0.0,0.36221042,0.08566602,0.0,9211.604,35662.188,100748.8,10.937161,0.042517424,0.2668082,253308130.0,299771520.0,500.0,0.84500253,0.2596525,2238.4375,0.32991415,0.75192827,-0.12935326,-0.0,-0.004997492,-0.009652495
10000006,939.90344,1.2780347,784.6468,1.5134592,1.0389867,153.9093,0.042224996,0.005970778,0.0011169075,0.0005313975,0.69772255,0.982973,1.0947559,0.14285725,0.2201339,0.51698685,0.712324,0.50639474,0.037886098,0.0,0.0,0.4728523,0.15962839,0.00024131274,10642.561,31922.148,116132.016,10.912037,0.052651048,0.3637887,298676930.0,347779800.0,2437.5,0.8588044,0.410111,3172.0625,0.3312808,0.75115633,-0.12850864,-0.0,-0.008804381,-0.16011101
10000005,1082.2314,1.3254836,774.8965,1.5276618,1.0902913,192.18156,0.044600315,0.013936669,0.0028877403,0.0005514034,0.5960803,0.95082617,1.0464957,0.09341755,0.270999,0.60801804,0.81755996,0.5036197,0.035714287,0.0,0.0,0.7095801,0.2195946,0.0024131273,11893.113,33898.324,140498.55,11.813437,0.06387557,0.3943746,363188930.0,422059140.0,10187.5,0.8604959,0.47333497,4181.5,0.33369747,0.74979526,-0.12790538,-0.0,-0.010495901,-0.22333497
10000039,1033.5953,1.290806,703.5022,1.5979372,1.0772464,162.81915,0.031114144,0.006554118,0.0022452534,0.00019680726,1.5341063,0.911955,1.2152895,0.09064652,0.38853204,0.60503227,0.6837026,0.50180984,0.03125,0.0,0.0,0.55164087,0.082528956,0.0,9910.346,39106.867,144758.03,14.606759,0.052221775,0.27410948,335265470.0,390945860.0,17218.75,0.85753745,0.3488176,2969.6875,0.33680078,0.7480546,-0.13055983,-0.0,-0.0075374246,-0.09881759
10000003,926.92065,1.4369903,740.16394,1.4993074,0.87085986,156.0077,0.011377475,0.010494955,0.0032246117,0.00048282472,0.70527935,0.9573642,0.90099525,0.11463946,0.37161785,0.5832298,0.7825607,0.5155647,0.03740348,0.0,0.0,0.71042466,0.21247587,0.0015685328,10906.16,41700.79,115932.86,10.630034,0.060654335,0.40369454,326826940.0,384577700.0,13968.75,0.84980243,0.26978764,2748.4375,0.33791703,0.74743044,-0.1381612,-0.0,-0.0001975894,-0.01978764
10000187,1142.0518,1.3575897,769.6896,1.5582737,0.96228856,166.44995,0.03007184,0.009843369,0.0025726538,0.0005915643,0.5041118,1.1982733,1.1737493,0.09566795,0.404683,0.35744092,0.7336688,0.49517375,0.029560812,0.0,0.0,0.67398643,0.23214285,0.0030164092,12007.628,42583.83,171629.78,14.293396,0.06368929,0.43305117,391275200.0,464134850.0,593.75,0.8430194,0.38187742,3446.5,0.34622136,0.7428199,-0.13526544,-0.0,-0.006980598,-0.13187742
10000000,1104.4258,1.1700641,719.9963,1.5299592,1.1566552,164.53453,0.0427581,0.005778119,0.003925496,0.0007300947,0.81544536,1.184311,1.0057373,0.093142815,0.30832243,0.6256564,0.77639544,0.49348456,0.033783782,0.0,0.0,0.6938948,0.24348456,0.0025337837,10212.218,32846.953,126872.76,12.423624,0.06167517,0.41485077,328392640.0,378071870.0,19781.25,0.86855304,0.40166503,3469.5625,0.35640097,0.73724514,-0.13273166,-0.0,-0.018553019,-0.15166503
10000191,1099.9048,1.2166421,719.7833,1.5855485,1.1652979,192.62814,0.029787732,0.014851093,0.0038090008,7.6767814e-05,1.2405674,0.8532194,1.1737052,0.16282916,0.19265081,0.4440986,0.6200776,0.50180984,0.020873552,0.0,0.0,0.6938948,0.10195464,0.0,13536.623,38636.242,143849.11,10.626661,0.05786484,0.27388734,331706180.0,394188220.0,36843.75,0.8414132,0.3797056,3608.625,0.36431602,0.73296803,-0.14093629,-0.0,-0.008586824,-0.12970561
10000391,1071.188,0.8646081,745.44574,1.4605563,1.0150306,157.109,0.022816237,0.012723204,0.0016424006,0.0006516525,1.6656778,0.86211073,0.9479896,0.11215593,0.26059726,0.5193694,0.8461994,0.5048263,0.03450772,0.0,0.0,0.43351835,0.12656854,0.00012065637,9674.067,32263.3,84700.59,8.755427,0.04393659,0.29798555,229826560.0,261218270.0,51406.25,0.8796526,0.24987935,2383.8125,0.36798286,0.7310033,-0.13031858,-0.0,-0.029652596,-0.0001206547
10000240,1109.8975,1.4342725,756.37134,1.5876536,1.1810803,162.40895,0.02872955,0.012445789,0.0035241472,0.0006799927,0.54773015,1.1949613,0.9771924,0.12573011,0.35782093,0.4501069,0.56623125,0.49276063,0.02159749,0.0,0.0,0.7652027,0.30489868,0.005912162,11878.953,40613.1,179075.34,15.07501,0.07223418,0.44398597,400858880.0,472370180.0,312.5,0.8486112,0.41807434,3908.8125,0.36804125,0.7309721,-0.14564188,-0.000912162,-0.0013888478,-0.16807434
10000138,830.99896,1.0902486,763.06165,1.4008409,0.9474795,155.10013,0.043949656,0.010874009,0.0027797401,0.00035429178,0.6215284,1.0626627,1.1298231,0.102277026,0.21380833,0.5270213,0.661586,0.49203667,0.03354247,0.0,0.0,0.6117278,0.132722,0.00024131274,9201.815,24723.797,79951.7,8.688688,0.051781364,0.29916918,229451940.0,262505310.0,8062.5,0.87405807,0.4054054,3437.9375,0.36815754,0.73091,-0.13442086,-0.0,-0.024058044,-0.1554054
10000004,920.86536,1.4105304,622.77026,1.5753345,1.0405358,179.7793,0.025054324,0.0083490275,0.0038922227,0.0004029825,0.77375305,1.1525,1.001333,0.09973633,0.23287015,0.74273026,0.6220209,0.50953186,0.021235522,0.0,0.0,0.7433639,0.22031853,0.00096525095,12255.088,37552.85,126077.44,10.287763,0.06094726,0.39492422,321382430.0,378882000.0,20218.75,0.8481936,0.3700531,3369.5625,0.36868456,0.73062855,-0.14829633,-0.0,-0.001806438,-0.12005311
10000162,1131.3424,1.1980194,786.19727,1.5767093,1.1986159,179.10431,0.0196156,0.011946438,0.0015135151,0.00038338572,1.4470885,0.9583696,1.2381444,0.102599084,0.3163075,0.5183599,0.82976085,0.511945,0.03185328,0.0,0.0,0.5188224,0.119570464,0.00012065637,12326.1,44119.61,146031.4,11.847333,0.05118482,0.32747114,331599970.0,397892160.0,22500.0,0.83334446,0.28921333,2716.8125,0.36924013,0.7303321,-0.14009172,-0.0,-0.016655564,-0.03921333
