theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d60_reach_d5,d60_reach_d10,d60_reach_d15,d60_reach_d20,d60_has_B,d60_has_A,d60_has_S,d60_p50,d60_p90,d60_p99,d60_p99_p50,d60_mean_bonus,d60_p99_bonus,d60_sink,d60_inflow,d60_refund,d60_sink_ratio,d60_drop7,d60_spare_total
0,1198.2593,0.7834931,711.48944,1.4387444,0.9877449,169.68425,0.02821169,0.011990437,0.0012737595,0.00051327376,1.7151421,0.85614526,0.72113985,0.22991008,0.35567003,0.6166341,0.87837267,0.37741312,0.020390928,0.00012065637,0.0,0.12029441,0.0359556,0.0,4494.1973,17542.793,58335.297,12.980137,0.01791121,0.16110633,72157200.0,82673180.0,156.25,0.87279886,0.25591215,779.3125
1,742.9928,1.1527878,421.69858,1.5834107,0.96044695,428.358,0.04793252,0.008569189,0.0022634503,0.00023145866,1.0683298,1.0062795,1.0001059,0.15048888,0.19637461,0.49220574,0.66560453,0.46911198,0.0013272201,0.0,0.0,0.21899131,0.020873554,0.0,5325.341,15781.676,38296.53,7.1913767,0.019997735,0.13069251,68726960.0,76388960.0,250.0,0.8996946,0.42362452,1446.9375
2,507.55353,1.023124,642.9317,1.3471357,0.8090217,358.56073,0.013438432,0.0056802044,0.0037933341,0.0003069792,0.75996804,1.1662247,0.9198654,0.18268886,0.2583125,0.67288697,0.6381384,0.34905887,0.014720077,0.00024131274,0.0,0.27014962,0.024855211,0.0,3823.8442,14370.309,53219.15,13.917708,0.01424012,0.134315,40909984.0,45758108.0,0.0,0.89404887,0.19944498,521.5625
3,951.8932,1.4412835,431.7541,1.6467298,1.1181191,277.74936,0.032545876,0.014257606,0.0014913068,0.00076601445,1.2720363,0.93839103,1.1902397,0.091439486,0.41971627,0.44845206,0.8058392,0.43798262,0.0014478764,0.0,0.0,0.2820946,0.08759652,0.0,5961.3994,19833.443,62162.977,10.427581,0.027442243,0.21090063,108408936.0,125307864.0,750.0,0.86513555,0.4280888,1639.3125
4,906.20703,0.97797906,341.26978,1.614256,1.1620531,199.79552,0.018605798,0.0030587337,0.0031737702,0.00013964363,0.65025115,0.915012,0.89268595,0.14034972,0.39680102,0.38997847,0.7899828,0.5341458,0.024131274,0.0,0.0,0.22562742,0.011944981,0.0,5315.1973,21126.24,70003.375,13.170419,0.015747212,0.15848595,60901090.0,78434430.0,0.0,0.77645856,0.2043919,536.4375
5,639.6121,1.3582968,787.79834,1.2953409,0.7966989,458.4257,0.03771061,0.012387488,0.0021946037,0.00060453836,1.5676988,1.1896043,1.1723098,0.21911071,0.28602123,0.71280354,0.55353355,0.47140443,0.0061534746,0.00024131274,0.0,0.28945464,0.062017374,0.0,4335.7144,13096.609,30746.922,7.091547,0.022714855,0.16773258,77939500.0,78495630.0,8406.25,0.9928088,0.4389479,1719.0625
6,787.2844,0.8160841,503.33325,1.5086534,0.8848718,394.0546,0.023376584,0.009358609,0.0006629478,0.00068005983,1.9683428,1.107908,0.8164137,0.10257089,0.21507211,0.5462314,0.7309985,0.38260132,0.007842664,0.0,0.0,0.093629345,0.0445222,0.0,4675.1475,17281.498,53846.37,11.517577,0.012852402,0.14127906,47015828.0,56457300.0,406.25,0.8327619,0.21947394,629.9375
7,1064.8276,1.2483183,559.72534,1.3727636,1.0809267,313.37195,0.043099746,0.0066860137,0.0029545643,0.00039238558,0.9981393,0.75451726,1.0874413,0.19316007,0.3237415,0.5690499,0.9125182,0.7466216,0.027509652,0.00024131274,0.0,0.28704152,0.03861004,0.0,5565.9004,18065.25,44638.918,8.020071,0.024471719,0.17909461,108811600.0,120488610.0,781.25,0.90308034,0.41602316,1422.875
8,1091.8221,1.051312,549.9477,1.2631692,0.9437997,245.77715,0.016602233,0.0041787378,0.0034521436,0.0007073931,0.9084787,0.8234908,1.1392169,0.11659713,0.27297014,0.358191,0.60147434,0.6692809,0.15938707,0.0066361004,0.0,0.2947635,0.06515443,0.0,6893.706,25844.54,78161.3,11.338066,0.019074984,0.20281845,76064580.0,103319310.0,0.0,0.7362087,0.20342664,582.875
9,849.83655,1.481944,587.2991,1.618361,1.0290016,330.39,0.036882147,0.012756143,0.0020251668,0.00024833187,1.8720635,1.0328308,0.86776316,0.20519327,0.43437493,0.73218787,0.8424177,0.3003137,0.00096525095,0.0,0.0,0.2795608,0.028716218,0.0,4657.43,15581.168,38177.82,8.1971855,0.025499035,0.156845,108863370.0,112763030.0,21312.5,0.96523476,0.4535473,1882.4375
